"統計名：","登記統計 商業・法人"
"表番号："
"表題：","会社及び登記の種類別　会社の登記の件数"
"実施年月：","2018年","1月"

"***","数字が得られないもの"
"…","数字が得られないもの"

"","","","","","","/会社の種類別(月次) コード","110","110","110","110","110","110"
"","","","","","","/会社の種類別(月次) 補助コード","-","-","-","-","-","-"
"","","","","","","/会社の種類別(月次)","株式会社","株式会社","株式会社","株式会社","株式会社","株式会社"
"","","","","","","/本店・支店所在地における登記の別 コード","100","100","100","100","100","100"
"","","","","","","/本店・支店所在地における登記の別 補助コード","-","-","-","-","-","-"
"","","","","","","/本店・支店所在地における登記の別","本店","本店","本店","本店","本店","本店"
"","","","","","","/会社の登記の種類別(月次) コード","200","210","230","290","320","330"
"","","","","","","/会社の登記の種類別(月次) 補助コード","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","時間軸(月次) コード","時間軸(月次) 補助コード","時間軸(月次)","/会社の登記の種類別(月次)","登記事項の変更","登記事項の変更_目的の変更","登記事項の変更_資本金の額の増加","登記事項の変更_役員等に関する変更","登記事項の変更_取締役会，監査役会又は委員会設置会社に関する変更","登記事項の変更_監査役，会計参与又は会計監査人設置会社に関する変更"
"100","","件数【件】","2019000404","","2019年4月","","62,192","4,415","2,329","46,014","1,668","309"
"100","","件数【件】","2019000303","","2019年3月","","46,196","4,107","2,304","33,075","1,348","162"
"100","","件数【件】","2019000202","","2019年2月","","40,780","3,836","1,954","28,433","1,345","187"
"100","","件数【件】","2019000101","","2019年1月","","42,212","3,433","2,039","30,027","1,335","195"
"100","","件数【件】","2018001212","","2018年12月","","50,095","3,802","2,170","36,932","1,620","214"
"100","","件数【件】","2018001111","","2018年11月","","50,153","4,047","2,226","36,498","1,693","214"
"100","","件数【件】","2018001010","","2018年10月","","58,837","4,592","2,633","42,262","1,908","311"
"100","","件数【件】","2018000909","","2018年9月","","42,462","3,448","1,986","30,825","1,329","219"
"100","","件数【件】","2018000808","","2018年8月","","53,559","4,329","2,578","38,673","1,675","245"
"100","","件数【件】","2018000707","","2018年7月","","81,950","5,499","2,564","64,490","1,934","364"
"100","","件数【件】","2018000606","","2018年6月","","71,137","4,775","2,385","56,463","1,732","253"
"100","","件数【件】","2018000505","","2018年5月","","56,187","4,589","2,654","41,548","1,645","231"
"100","","件数【件】","2018000404","","2018年4月","","61,552","4,654","2,557","45,518","1,582","263"
"100","","件数【件】","2018000303","","2018年3月","","48,278","4,727","2,629","33,758","1,448","175"
"100","","件数【件】","2018000202","","2018年2月","","40,650","4,289","2,209","27,829","1,362","150"
"100","","件数【件】","2018000101","","2018年1月","","42,771","4,058","2,100","29,583","1,424","216"
"100","","件数【件】","2017001212","","2017年12月","","55,536","4,372","2,366","40,883","1,866","201"
"100","","件数【件】","2017001111","","2017年11月","","51,837","4,176","2,165","38,112","1,795","186"
"100","","件数【件】","2017001010","","2017年10月","","58,021","4,565","2,398","41,934","1,939","237"
